"nome","idade","sexo","cpf","escolaridade","data_nasc"
"Daniela Pires","","M","785.360.291-02","Ensino Fundamental",""
"Gustavo Henrique Oliveira","","","123.456.789-00","Mestrado",""
"Danilo Viana","","","123.456.789-00","Graduação","1994-11-23"
"Henrique Moura",79,"Outro","","Ensino Fundamental","1999-01-30"
"Daniela Correia","","Outro","","Mestrado","32/13/2000"
"Srta. Natália Gomes","","Outro","","Ensino Fundamental",""
"Vicente Vargas","","M","","Ensino Fundamental","1971-01-16"
"Luiza Vargas","","M","123.456.789-00","","32/13/2000"
"Marcela Novaes",84,"","123.456.789-00","Graduação",""
"Maitê Nogueira",77,"","123.456.789-00","Ensino Médio",""
"Maria Júlia Cavalcanti",68,"","123.456.789-00","Mestrado",""
"Sra. Aylla Marques",67,"F","123.456.789-00","Graduação","1958-05-06"
"Dra. Luísa Viana","","F","","Graduação","32/13/2000"
"João Miguel Vargas",76,"Outro","","Doutorado",""
"Nicole Guerra","","","963.418.572-09","Graduação",""
"Sr. Pedro Viana","","F","","Doutorado","1977-09-03"
"Aylla Macedo","","M","123.456.789-00","Graduação","1941-10-04"
"Henrique Carvalho","","F","","Mestrado","32/13/2000"
"Liam da Rosa","","F","","","32/13/2000"
"Bento Freitas",89,"","","Ensino Médio","32/13/2000"
"Maria Júlia Pires","","","568.374.120-35","",""
"Gabriel Novais","","F","123.456.789-00","",""
"Ryan Ribeiro","","","","",""
"Sophia Lima","","","","Ensino Médio","2001-03-10"
"Srta. Sarah da Mata",90,"F","","Ensino Fundamental",""
"Rafaela Sales","","Outro","123.456.789-00","",""
"Ágatha Pacheco","","","405.983.621-42","Doutorado","1978-07-05"
"Maria da Rocha","","Outro","420.598.671-85","",""
"Ana Júlia Ribeiro",87,"","409.381.572-05","","32/13/2000"
"Lara da Mota",56,"","","Graduação","1983-09-19"
"José Pedro Viana",74,"F","123.456.789-00","",""
"Maria Sophia Vargas",72,"","123.456.789-00","","32/13/2000"
"Julia Sá",44,"","","Doutorado",""
"Maria Julia Melo",86,"Outro","","Graduação",""
"Ana Cecília Brito","","M","123.456.789-00","",""
"Matteo Martins","","F","123.456.789-00","Ensino Médio","32/13/2000"
"Anthony Gabriel Jesus",59,"","","Ensino Médio",""
"Arthur Gabriel Alves","","","910.458.723-50","","1945-02-23"
"Caroline Garcia","","Outro","","Mestrado",""
"Paulo Sales","","M","542.607.918-85","",""
"José Pedro da Luz",63,"","","Ensino Médio",""
"Vitor Hugo Vargas","","Outro","","",""
"Isis Vasconcelos","","","123.456.789-00","Doutorado",""
"Lucas Gonçalves","","M","907.365.824-10","Ensino Fundamental",""
"Rafaela Campos",20,"F","","Mestrado","1983-02-11"
"Manuela Barros",72,"F","","Ensino Médio",""
"Sra. Bianca Pires","","Outro","","Ensino Fundamental",""
"Dra. Isabella Mendonça",39,"","","","32/13/2000"
"Sr. Nathan Campos","","M","387.541.602-35","Ensino Fundamental","32/13/2000"
"Allana Melo",79,"F","123.456.789-00","Doutorado",""
"Rafael Pimenta",19,"Outro","218.034.769-31","",""
"Dr. Luan Campos","","M","123.456.789-00","Mestrado","1949-10-28"
"Diego Sá",31,"Outro","","Graduação","32/13/2000"
"Marcos Vinicius Vasconcelos",66,"F","207.865.143-53","Doutorado","1990-01-14"
"Sra. Carolina Costela","","Outro","123.456.789-00","","32/13/2000"
"Aurora Pires","","","123.456.789-00","Ensino Fundamental","1982-08-24"
"Sofia Câmara",35,"","","Graduação",""
"Emanuel Rios",58,"F","","","1939-04-15"
"Benjamim Nascimento","","","","","1977-10-03"
"Fernanda Souza",56,"","123.456.789-00","",""
"Hellena Barbosa","","M","123.456.789-00","Mestrado",""
"Raul Silveira",32,"","354.126.089-06","Doutorado","1971-07-31"
"Daniel Martins","","F","","",""
"Heloísa Borges","","F","","","1935-05-13"
"Sra. Isadora da Cruz","","M","563.418.097-00","Graduação","32/13/2000"
"Sofia Andrade",23,"","","",""
"Alice Sales","","","632.791.084-03","","32/13/2000"
"Raul Oliveira",53,"Outro","907.316.542-34","Doutorado","32/13/2000"
"Ana Sophia Gomes","","Outro","","Doutorado","1979-01-29"
"Srta. Sophie Rocha","","","123.456.789-00","Ensino Fundamental","32/13/2000"
"Ana Lívia Novais","","M","","Doutorado","1964-01-27"
"Dr. João Felipe Montenegro","","F","640.725.319-52","Ensino Fundamental","32/13/2000"
"Dra. Yasmin da Rocha",19,"","","Doutorado",""
"Cauê Cavalcante","","F","","","1951-05-12"
"Manuella Leão","","","","Doutorado","1989-06-03"
"Manuela Rezende","","","578.324.160-17","Mestrado",""
"Rodrigo Freitas","","M","","","32/13/2000"
"Fernando Cavalcanti",65,"Outro","293.068.174-87","Doutorado","1983-09-14"
"Gustavo Novais","","","058.123.674-26","Ensino Fundamental","1949-12-04"
"Nathan Monteiro",49,"","","Mestrado","32/13/2000"
"Diogo Nunes",40,"","","Ensino Médio",""
"Murilo Pinto","","Outro","","","1971-03-20"
"Antônio Barros",65,"","871.439.560-66","Ensino Médio","32/13/2000"
"Clara Silva",84,"","659.207.413-25","Mestrado",""
"Aurora Cunha","","M","","Ensino Fundamental",""
"Kevin Melo","","","","","32/13/2000"
"Ravi Santos","","","","","32/13/2000"
"Nicole Câmara",87,"F","092.763.851-77","Mestrado","1990-03-01"
"Samuel Sales","","Outro","301.629.857-03","Graduação","1998-10-14"
"Maya da Luz","","Outro","715.496.083-39","Ensino Médio","32/13/2000"
"Liam Martins","","M","123.456.789-00","",""
"João Vitor Moura",29,"F","","",""
"Dr. João Gabriel Rodrigues","","M","519.680.723-30","Doutorado","32/13/2000"
"Maria Sophia Fernandes",68,"","213.846.590-05","Mestrado","32/13/2000"
"Ana Vitória Camargo","","Outro","","",""
"Sra. Ana Souza","","","","Ensino Médio","1961-12-13"
"Bruno Lima",43,"","190.635.742-07","Ensino Médio","1937-11-08"
"Sophie Pastor","","","","Mestrado","1946-07-11"
"Gustavo Pastor","","F","","Graduação",""
"Theodoro Vasconcelos",51,"M","123.456.789-00","",""
"Vitor Gabriel Abreu",23,"Outro","123.456.789-00","Ensino Fundamental","32/13/2000"
"Dr. Otávio Cunha","","","836.027.945-47","",""
"Dr. Asafe Barros",51,"M","","",""
"Maria Luísa da Rocha","","","123.456.789-00","Ensino Fundamental",""
"Maysa Moreira",31,"M","192.364.075-52","Ensino Fundamental","32/13/2000"
"Sr. Lucca Costa",34,"","","","1987-11-11"
"Dr. Nathan Mendonça",51,"M","842.630.917-87","Ensino Médio",""
"Davi Luiz Alves",34,"Outro","109.358.762-86","Ensino Fundamental",""
"Calebe Teixeira",24,"","","",""
"Joana Nogueira",81,"","","Ensino Médio",""
"Melina Marques",45,"Outro","","Mestrado","32/13/2000"
"Mathias Mendonça","","","123.456.789-00","",""
"Maria Flor Pimenta","","","","Ensino Fundamental","1980-11-14"
"Dra. Amanda Teixeira","","F","","Ensino Médio","32/13/2000"
"Isaac Ramos",87,"","","Mestrado",""
"Raul Ribeiro","","","","Mestrado",""
"Sr. Samuel Brito",41,"Outro","123.456.789-00","Ensino Fundamental",""
"Gabriela Monteiro","","","","","32/13/2000"
"Ayla Silva",38,"F","123.456.789-00","Graduação","1980-08-29"
"Kevin Montenegro","","","","","32/13/2000"
"Valentim Cirino",40,"","","",""
"Gabriela Fonseca","","Outro","123.456.789-00","Doutorado","32/13/2000"
"Gabrielly Jesus","","Outro","123.456.789-00","Mestrado","1948-11-05"
"Gael Alves",29,"F","123.456.789-00","Ensino Fundamental",""
"João Gabriel Carvalho","","","123.456.789-00","","32/13/2000"
"Bryan Dias","","F","","Ensino Fundamental","1965-07-07"
"Theodoro Campos","","F","894.301.572-05","",""
"Dra. Isabela Lima","","","321.768.954-28","Graduação",""
"Yasmin Freitas",59,"F","","",""
"Sra. Lorena Almeida",58,"","","Ensino Médio","32/13/2000"
"Maria Cecília Rodrigues","","Outro","123.456.789-00","Ensino Médio","1974-05-05"
"Isaac da Rosa","","M","123.456.789-00","Doutorado",""
"Maria Sophia Farias","","","612.574.089-76","Mestrado","32/13/2000"
"Ana Teixeira","","M","123.456.789-00","Graduação",""
"Sr. Daniel Castro","","M","","Mestrado","1951-07-24"
"Erick Rodrigues",51,"F","954.103.286-98","Graduação",""
"Heloisa Almeida","","M","083.971.256-12","Mestrado",""
"Mariane Peixoto",71,"","","Mestrado",""
"Sabrina Campos","","M","","","32/13/2000"
"Henrique da Paz","","M","362.910.754-07","Graduação","1994-10-08"
"Léo Pacheco","","M","710.382.649-87","Graduação","32/13/2000"
"Sra. Jade Barbosa",66,"M","180.729.346-78","Graduação",""
"Thiago Pinto","","F","","Ensino Médio","1968-10-25"
"Theodoro Monteiro","","F","123.456.789-00","Mestrado",""
"Sr. Davi Lucas Monteiro","","F","456.279.831-91","Ensino Fundamental",""
"Levi Sousa","","F","729.015.638-21","Graduação","1938-04-09"
"Joana Castro",72,"Outro","","Ensino Médio","1995-09-10"
"Brenda Silveira",21,"F","","Ensino Fundamental",""
"Alana Moura","","","","Mestrado",""
"Camila Gonçalves","","","","Ensino Médio",""
"Juliana Peixoto","","F","","Ensino Fundamental",""
"João Miguel Duarte","","Outro","123.456.789-00","",""
"Gustavo Henrique Castro",90,"F","694.581.072-02","Ensino Fundamental",""
"Sra. Caroline Fogaça","","","123.456.789-00","Doutorado","1945-09-01"
"Maria Eduarda Pimenta","","","","Doutorado","32/13/2000"
"Valentina Pires","","M","","","1950-10-13"
"Letícia da Cruz","","","123.456.789-00","Ensino Fundamental",""
"Maria Sophia Brito",40,"F","123.456.789-00","Ensino Médio","1957-10-29"
"Matteo Aparecida",72,"","123.456.789-00","","32/13/2000"
"Heitor Cirino","","M","149.380.576-20","Mestrado",""
"Rhavi Marques","","Outro","","","1950-06-01"
"Anthony Gabriel Correia","","M","","Ensino Médio","32/13/2000"
"Zoe Correia","","","147.935.082-60","Ensino Fundamental","1954-02-18"
"Dra. Melina Mendonça","","Outro","","Graduação",""
"Sr. Cauã Pires","","","","Ensino Fundamental","32/13/2000"
"Sophie Pastor","","F","","Ensino Fundamental",""
"Oliver Melo","","F","175.386.049-01","",""
"Manuella Macedo","","M","","",""
"Maria Cecília Vieira","","","723.850.946-65","","32/13/2000"
"Samuel Brito","","","","Graduação",""
"Sr. Erick Montenegro",29,"","123.456.789-00","",""
"Luigi Viana","","Outro","504.197.823-97","Doutorado","32/13/2000"
"Brenda Caldeira","","","","Ensino Médio","1954-10-06"
"Sra. Melina Teixeira",40,"F","871.952.403-04","Ensino Médio","1960-11-13"
"Maria Vitória Vargas",76,"Outro","123.456.789-00","Graduação",""
"Sra. Maria Cecília Pires","","","326.715.948-28","","1995-10-29"
"Maria Cecília Alves","","","","Ensino Médio",""
"Pedro Henrique Araújo","","Outro","123.456.789-00","",""
"Dra. Luara Ferreira","","M","","Ensino Fundamental","32/13/2000"
"Maria Luiza Vasconcelos",45,"F","123.456.789-00","Graduação",""
"Larissa Cunha",83,"M","","Ensino Médio","32/13/2000"
"Otávio Montenegro",19,"Outro","","",""
"Letícia Oliveira","","Outro","","Graduação","32/13/2000"
"Cecilia Silva","","","","Doutorado","1946-09-23"
"Otávio Jesus","","Outro","","Graduação","1983-08-26"
"Valentina Guerra",79,"Outro","","",""
"Sra. Maria Vitória Castro","","Outro","123.456.789-00","Ensino Médio","32/13/2000"
"Olívia Andrade","","","","","32/13/2000"
"Vicente Cassiano","","","","Graduação",""
"Mariah Aragão","","M","123.456.789-00","Graduação","32/13/2000"
"Oliver Mendes","","","","Doutorado",""
"Melissa Cassiano","","","123.456.789-00","Graduação","1993-09-11"
"Sra. Aurora Cavalcante",78,"Outro","123.456.789-00","",""
"Renan Montenegro",29,"Outro","123.456.789-00","",""
"Luna Guerra","","Outro","","Doutorado",""
"Luiza Garcia",77,"","418.097.263-87","","1968-03-03"
"Eduardo das Neves",78,"","620.481.753-17","",""
"Beatriz Dias","","","265.930.478-56","","32/13/2000"
"Sophia Sá",35,"Outro","","Doutorado",""
"Ana Jesus","","F","304.768.125-26","Mestrado",""
"Maria Luísa Machado","","M","183.692.507-77","Mestrado",""
"Alexandre Martins",44,"","123.456.789-00","Mestrado","1985-02-16"
"Sr. Thomas da Paz","","","","Mestrado",""
"Thiago Dias","","M","547.216.809-02","Doutorado","32/13/2000"
"Davi Luiz Ramos",65,"Outro","123.456.789-00","Ensino Fundamental","1986-11-06"
"Anna Liz Viana",49,"Outro","","Ensino Médio","1982-02-09"
"Emanuelly Vargas","","","","Ensino Médio","1971-08-27"
"Maria Alice Correia","","Outro","","",""
"Gael Henrique Porto","","F","","Mestrado",""
"Davi Lucas Souza",42,"","124.796.803-04","Ensino Médio","32/13/2000"
"Isis Rodrigues",34,"M","123.456.789-00","Ensino Fundamental",""
"Valentim Martins","","Outro","750.819.263-02","Doutorado","1976-06-06"
"Matteo Correia","","M","510.983.742-23","","1955-10-11"
"Dr. Benício Pires","","","107.384.295-97","Doutorado",""
"Isabella Fernandes","","F","123.456.789-00","","1950-05-19"
"Bento Andrade","","M","","Doutorado","32/13/2000"
"Cauã Rocha",71,"","089.235.761-40","Graduação","1965-02-12"
"Alexia Marques","","F","123.456.789-00","",""
"Luísa Pastor",84,"Outro","","Graduação","32/13/2000"
"Luiz Gustavo Leão","","","123.456.789-00","",""
"Maria Alice das Neves",60,"M","982.137.465-46","","1934-06-28"
"Clara Araújo","","","123.456.789-00","Ensino Fundamental","1942-09-13"
"Sr. Renan Sales","","F","","Graduação",""
"Thales Câmara",77,"M","123.456.789-00","","1984-07-20"
"Murilo Cirino","","Outro","","","1993-04-30"
"Luiz Miguel Aparecida",30,"M","123.456.789-00","","32/13/2000"
"Isabelly Cavalcanti","","","","","1984-12-17"
"Brenda Fernandes","","F","347.125.689-09","Mestrado",""
"Diego Cardoso","","","","",""
"Esther Nascimento",39,"F","425.108.693-70","","32/13/2000"
"Srta. Olivia Vieira","","","","",""
"Dr. Vinicius Sales","","","","Doutorado","1961-01-07"
"Isabela Gonçalves","","","346.981.250-06","Mestrado",""
"Juan Macedo",23,"Outro","","Ensino Fundamental","32/13/2000"
"Maria Luísa Freitas","","","754.301.689-39","Mestrado","32/13/2000"
"Sr. Juan Montenegro","","","123.456.789-00","","1982-06-02"
"Yago Costa","","F","","",""
"Kaique da Paz",39,"","","Ensino Médio",""
"Ian Silveira",53,"","123.456.789-00","Doutorado",""
"Levi Correia",69,"M","","Mestrado",""
"Anthony Monteiro","","","","Ensino Fundamental",""
"Eduardo Farias",20,"","","Ensino Fundamental","1948-03-05"
"Dr. Kevin Borges","","","","Doutorado","32/13/2000"
"Matheus da Paz","","Outro","394.570.861-39","","32/13/2000"
"Enzo Gabriel Duarte","","","","",""
"Davi Lucca Costela",75,"M","123.456.789-00","Ensino Fundamental",""
"Dra. Natália da Mota","","Outro","","","2000-03-17"
"Nicole Oliveira",23,"","123.456.789-00","",""
"Felipe Pinto","","","123.456.789-00","Ensino Médio","1966-01-05"
"João Guilherme Pires",68,"","123.456.789-00","",""
"Cauã Montenegro","","M","567.128.043-53","",""
"Nicole Garcia","","","123.456.789-00","Mestrado","1977-11-28"
"Nicole Mendonça","","M","","",""
"Enzo Gabriel Almeida",83,"","123.456.789-00","","32/13/2000"
"Júlia Cassiano","","","","Doutorado",""
"Bella Gomes","","F","","Mestrado",""
"Guilherme Borges","","F","123.456.789-00","Mestrado",""
"Srta. Ana Clara Leão","","","123.456.789-00","Ensino Médio","32/13/2000"
"Igor Cunha","","Outro","123.456.789-00","","32/13/2000"
"Hellena Azevedo","","Outro","450.713.298-32","",""
"Dra. Eloá da Cunha","","","","",""
"Lucas Gabriel Almeida",72,"","976.451.032-99","Ensino Fundamental",""
"Isaac Sousa",36,"M","123.456.789-00","Graduação","32/13/2000"
"Gabrielly Ramos","","Outro","123.456.789-00","","2004-04-12"
"Laura Sá",55,"","035.217.968-68","Graduação",""
"Maria Helena Moreira","","","123.456.789-00","",""
"Cecília Costela","","Outro","219.468.570-76","Mestrado",""
"Sra. Luana Cavalcante","","Outro","396.147.258-00","Ensino Fundamental",""
"Rodrigo Barros","","","123.456.789-00","",""
"Alícia Teixeira","","","123.456.789-00","","32/13/2000"
"Nicole das Neves","","F","746.893.015-57","Ensino Médio","32/13/2000"
"Eduardo Correia",83,"","095.367.421-52","Mestrado",""
"Lorena Ramos","","F","123.456.789-00","Doutorado",""
"Sra. Sophia Santos","","","123.456.789-00","Ensino Fundamental","32/13/2000"
"Sr. Diogo da Luz","","M","","Mestrado",""
"Maria Isis Gonçalves","","Outro","123.456.789-00","Ensino Médio","2001-07-12"
"Maria Helena Pastor",82,"","","Ensino Fundamental",""
"Sra. Lorena Abreu",46,"Outro","","Graduação",""
"Felipe Freitas","","","","Doutorado","1958-08-28"
"Bento Souza","","Outro","","Ensino Médio","32/13/2000"
"Bryan Garcia","","Outro","","","1947-02-10"
"Bento da Mata","","","","Ensino Fundamental",""
"Maitê Pereira","","","","Ensino Fundamental",""
"Ana Laura Fogaça","","","510.396.872-02","Ensino Fundamental","32/13/2000"
"Josué Freitas","","M","796.510.248-01","Ensino Médio","32/13/2000"
"Sra. Melina da Conceição",72,"F","","","1947-01-23"
"Sra. Laís Pereira",37,"","","Ensino Fundamental","1956-04-05"
"Bruna Mendes",27,"F","","Doutorado","1955-03-14"
"Dr. João Lucas Câmara","","","","Mestrado",""
"Ana Luiza Ramos","","M","","","1968-08-26"
"João Vitor Borges",86,"","195.748.026-20","","1950-09-24"
"Dr. Alexandre das Neves","","","083.675.219-86","Graduação",""
"Hellena Caldeira","","","","Mestrado","1953-06-15"
"Larissa Casa Grande",78,"","123.456.789-00","Ensino Médio",""
"Lavínia Santos","","F","","",""
"Maria Júlia da Rosa","","","123.456.789-00","Ensino Fundamental","1943-03-02"
"Larissa da Paz","","","","Doutorado","1995-08-30"
"Elisa Oliveira",57,"Outro","123.456.789-00","Mestrado","32/13/2000"
"Sr. Diogo Garcia",38,"F","","Ensino Médio","2003-07-17"
"Maitê Pastor","","","629.105.738-77","",""
"Dra. Emanuella Rezende",88,"Outro","617.953.248-64","Graduação","1983-05-20"
"Dante Camargo","","","","Graduação",""
"Dra. Aylla Vieira","","F","926.357.840-00","Graduação","1946-12-04"
"Sr. Vitor Gabriel Cirino","","","","Graduação",""
"Bárbara Cirino","","","","",""
"Elisa Borges",72,"M","","Ensino Médio","32/13/2000"
"Agatha da Cruz","","Outro","123.456.789-00","",""
"Maria Pereira","","","","",""
"Henrique Carvalho","","M","123.456.789-00","","1943-07-06"
"Jade da Luz",53,"","123.456.789-00","Graduação","2006-04-29"
"Brayan Pires",27,"","435.976.180-57","",""
"Maria Helena Alves",45,"","","Doutorado",""
"Sr. Luiz Miguel Farias","","","123.456.789-00","",""
"Erick Moura","","","471.926.538-37","Mestrado",""
"Enzo Gabriel Dias",82,"F","123.456.789-00","","32/13/2000"
"Théo Silva",75,"F","123.456.789-00","",""
"Mariah Santos",63,"F","","Ensino Médio","2004-03-29"
"Srta. Lorena Porto","","F","146.720.835-35","","32/13/2000"
"Benjamin Barros","","","","Mestrado","2003-06-26"
"Yasmin Sampaio","","Outro","160.497.325-07","",""
"Dra. Vitória Rodrigues","","","123.456.789-00","Mestrado",""
"Théo Fogaça","","M","","Mestrado","32/13/2000"
"Kaique Mendes","","Outro","","Mestrado",""
"Ravi Pinto","","F","","Ensino Médio","32/13/2000"
"Luiz Fernando Silveira","","Outro","123.456.789-00","Ensino Médio","32/13/2000"
"Daniela Jesus","","","170.952.634-34","","32/13/2000"
"Luiz Otávio Lima","","M","","",""
"Luiz Henrique Santos",79,"","123.456.789-00","",""
"Gael Henrique Mendes",20,"M","123.456.789-00","Doutorado","32/13/2000"
"Dra. Maria Julia Cardoso","","","190.862.743-31","Doutorado","32/13/2000"
"Manuela Lima",25,"Outro","123.456.789-00","Doutorado",""
"Daniela Siqueira","","M","","Ensino Fundamental","32/13/2000"
"Bella Sampaio","","","","Ensino Médio","32/13/2000"
"João Guilherme Correia","","F","123.456.789-00","Doutorado",""
"Igor Câmara","","Outro","","Doutorado","1970-01-13"
"Dr. Luiz Fernando Silva","","","123.456.789-00","Ensino Fundamental","1962-03-29"
"Ravy da Mota","","","","","32/13/2000"
"Anthony Gabriel Rodrigues",30,"","825.976.401-67","","1961-12-22"
"Maria Isis Borges","","F","129.047.583-05","",""
"Yago Pinto","","Outro","547.618.902-58","",""
"Isis Teixeira","","","","Doutorado","1990-06-01"
"Sarah Vieira",72,"Outro","","","32/13/2000"
"Sra. Sabrina Rodrigues","","","","Graduação","32/13/2000"
"Júlia Costela","","M","209.416.875-11","Doutorado","2001-12-16"
"Dra. Valentina da Luz","","F","","Mestrado",""
"Isabela da Rocha",31,"","","Graduação",""
"Manuella Pires","","","","",""
"Laís Duarte","","","","Ensino Médio",""
"Dra. Maria Helena Rezende","","","","Graduação",""
"Pietro da Conceição","","F","652.309.148-15","","32/13/2000"
"Samuel Siqueira","","F","240.915.367-43","Ensino Médio",""
"Brayan Lima","","","376.054.128-35","Ensino Médio",""
"Maria Isis Almeida",18,"F","","Doutorado",""
"Vitor Hugo Sousa",29,"Outro","123.456.789-00","Graduação","1978-07-17"
"Daniela da Cruz","","","","Doutorado",""
"Thomas Leão",25,"","","Ensino Fundamental","32/13/2000"
"Matheus Rodrigues","","F","172.096.854-30","","32/13/2000"
"Luiz Miguel Barros","","M","","Ensino Médio","1953-11-01"
"Liz Pinto",38,"Outro","","Graduação",""
"Diogo Dias","","F","267.530.491-34","","1971-04-17"
"Caleb Duarte","","Outro","","Graduação",""
"Joaquim Gomes","","F","","Mestrado","1990-10-20"
"Hellena Sampaio",51,"","135.096.287-21","Doutorado","1951-07-28"
"Bento Ferreira","","Outro","524.317.608-71","",""
"Davi Miguel Campos","","Outro","","Mestrado",""
"Eduarda Alves","","","","Doutorado","1953-10-07"
"Ravy Souza",79,"Outro","284.369.570-83","Mestrado","32/13/2000"
"Eduardo Araújo","","","","Doutorado","2001-09-11"
"Ian Lima",51,"Outro","241.837.650-80","Mestrado",""
"Ester Souza","","F","","Graduação",""
"Mariana Correia","","Outro","123.456.789-00","","32/13/2000"
"Vitor Hugo Caldeira","","F","123.456.789-00","","32/13/2000"
"Bryan Nunes",51,"F","123.456.789-00","","32/13/2000"
"Miguel Montenegro",63,"M","356.821.047-90","Ensino Fundamental",""
"Theodoro Vasconcelos","","M","","Graduação",""
"Caleb Silva","","Outro","","Ensino Médio",""
"Luiz Miguel Pinto",68,"","123.456.789-00","Ensino Fundamental",""
"Diego Vargas","","M","","Mestrado","32/13/2000"
"João Lucas Oliveira",76,"","","Graduação","1993-07-21"
"Cecilia Campos","","F","","Doutorado","1993-05-21"
"Dr. Marcelo Barros","","","","Ensino Médio",""
"Cauã da Rocha","","","","Graduação","32/13/2000"
"Nina Ramos","","F","","",""
"Sr. Liam Fernandes","","Outro","","Ensino Médio","32/13/2000"
"Daniela Melo",47,"Outro","123.456.789-00","Doutorado",""
"Hadassa Aragão",66,"F","123.456.789-00","Mestrado","1970-09-01"
"Anna Liz da Rosa","","","123.456.789-00","",""
"Enzo Costa","","Outro","567.341.892-28","Mestrado","1934-09-28"
"Fernanda Barbosa",38,"F","","Mestrado","1953-06-18"
"Luiza Camargo","","Outro","","Graduação",""
"Ísis Vasconcelos","","Outro","","Ensino Fundamental",""
"Leandro Montenegro","","","123.456.789-00","Doutorado","32/13/2000"
"Sr. Felipe Marques","","Outro","","",""
"Larissa Sampaio","","","","Mestrado","32/13/2000"
"Ísis Brito","","Outro","","",""
"Gael Henrique Melo",27,"F","","Ensino Médio",""
"João Felipe Ribeiro","","Outro","","Doutorado",""
"Marcelo Moreira","","Outro","","Mestrado","32/13/2000"
"Maria Júlia Aragão",41,"F","123.456.789-00","",""
"Carlos Eduardo Santos",28,"F","","Ensino Fundamental","1977-04-08"
"Caleb Borges","","","069.541.723-16","Ensino Fundamental",""
"Davi Lucca Marques",85,"M","","Doutorado","32/13/2000"
"Benjamim da Mota","","","","Ensino Médio","32/13/2000"
"João Miguel da Luz","","F","123.456.789-00","Doutorado","32/13/2000"
"Ana Sophia Mendonça",21,"Outro","","",""
"Arthur Gabriel Campos","","Outro","","Ensino Médio","32/13/2000"
"Arthur Nascimento","","","","Doutorado",""
"Bryan Siqueira","","","123.456.789-00","","1996-12-14"
"Sra. Maya Moraes","","Outro","","Graduação","32/13/2000"
"Ryan Lopes",56,"M","123.456.789-00","Graduação",""
"Luiz Gustavo Freitas","","M","","",""
"Danilo Cirino",56,"","","Doutorado","32/13/2000"
"Levi Campos","","Outro","123.456.789-00","Mestrado",""
"Ana Luiza Gomes",68,"F","","",""
"Dr. Gael Henrique Costa","","M","","","32/13/2000"
"Lunna Pastor","","Outro","","",""
"Ana Carolina Nascimento",70,"M","123.456.789-00","Ensino Médio",""
"Liam Sá","","","","Graduação",""
"Camila Freitas","","M","123.456.789-00","Ensino Fundamental","1992-09-07"
"Enzo Gabriel Borges",41,"Outro","","Ensino Médio",""
"João Farias",19,"M","123.456.789-00","Ensino Fundamental",""
"Noah Porto","","","","",""
"João Vargas","","M","","Ensino Fundamental","32/13/2000"
"Anthony Gabriel Rios","","","376.190.248-40","Doutorado",""
"Sra. Daniela Montenegro",41,"Outro","","","1942-09-25"
"Otávio Cavalcante","","F","","",""
"Arthur Melo","","M","123.456.789-00","Mestrado","1962-04-02"
"Miguel Montenegro","","F","","Mestrado",""
"Sra. Evelyn da Rocha",59,"M","362.478.951-19","Graduação",""
"Ana Julia Ramos",56,"Outro","319.065.247-34","","32/13/2000"
"João Guilherme Câmara",32,"","","Ensino Fundamental","32/13/2000"
"Luiz Felipe Porto","","M","","","32/13/2000"
"Levi Rodrigues",19,"","","","32/13/2000"
"Sr. Felipe da Luz",65,"F","123.456.789-00","Mestrado","1997-09-15"
"Augusto Almeida","","M","943.861.502-42","Graduação","32/13/2000"
"Sra. Milena Mendonça",86,"F","","Ensino Médio",""
"Lucas Gabriel Moreira","","Outro","","","32/13/2000"
"Cecília Fogaça","","","","","32/13/2000"
"Bianca da Mota",50,"","","Doutorado",""
"Gabriel Aparecida","","","123.456.789-00","Doutorado","32/13/2000"
"Anthony Monteiro","","Outro","","Graduação","32/13/2000"
"Juan Albuquerque","","F","","Graduação",""
"Maria Ribeiro","","","094.125.683-98","",""
"Srta. Marina Pacheco",41,"","","","32/13/2000"
"Beatriz da Luz","","M","","Ensino Médio",""
"Oliver Novaes",88,"","","Graduação",""
"Aylla Carvalho",59,"M","875.492.316-64","Ensino Fundamental","32/13/2000"
"Maria Sophia Martins",40,"F","089.637.125-59","Mestrado","32/13/2000"
"Sophie Freitas",30,"","","",""
"Natália Aragão","","","","Ensino Fundamental",""
"Rafaela Sales","","M","501.946.823-15","Ensino Médio",""
"Thales Carvalho","","M","","Doutorado",""
"Alexandre Cassiano","","M","","Doutorado","1986-07-26"
"Davi da Rosa","","M","123.456.789-00","Doutorado","1950-02-27"
"Clara Porto","","F","","Ensino Médio","32/13/2000"
"Lavínia da Rocha","","F","123.456.789-00","Doutorado",""
"Mariana Casa Grande","","","","",""
"Melina Aparecida",72,"F","123.456.789-00","Doutorado",""
"Giovanna Ferreira","","F","","Graduação",""
"Srta. Lara Viana","","Outro","","",""
"Valentina da Luz","","F","123.456.789-00","Mestrado",""
"Calebe Rios","","","","Ensino Fundamental","1990-07-24"
"Bento Pimenta","","M","123.456.789-00","Graduação","1957-01-29"
"Sr. Rael Garcia",56,"F","","Ensino Fundamental",""
"Enrico Lopes","","","123.456.789-00","Ensino Fundamental","1934-02-07"
"Dr. Yago Barbosa","","F","123.456.789-00","Graduação",""
"Cecilia Azevedo",49,"Outro","","Ensino Fundamental",""
"Theo da Conceição",90,"M","","",""
"João Pedro Barbosa","","","834.970.521-32","Doutorado",""
"Ana Andrade","","","","Ensino Fundamental","1941-11-15"
